config,base_arrival_rate,num_search_workers,success_rate,throughput_rps,eff_latency_p95,latency_p95,dropped_timeout
"{'base_arrival_rate': 25.0, 'burst_multiplier': 5.0, 'burst_duration': 30.0, 'burst_interval': 120.0, 'sim_time': 600.0, 'seed': 42, 'search_time_mean': 0.02, 'es_query_time_mean': 0.08, 'num_search_workers': 75, 'es_query_pool_size': 100, 'alpha': 0.0, 'beta': 0.0, 'max_threads': None, 'sla_seconds': 0.5, 'seeds': [42, 43]}",25,75,0.9971913127523595,49.71,0.2636813569687071,0.25937335318366195,81.0
"{'base_arrival_rate': 25.0, 'burst_multiplier': 5.0, 'burst_duration': 30.0, 'burst_interval': 120.0, 'sim_time': 600.0, 'seed': 42, 'search_time_mean': 0.02, 'es_query_time_mean': 0.08, 'num_search_workers': 100, 'es_query_pool_size': 100, 'alpha': 0.0, 'beta': 0.0, 'max_threads': None, 'sla_seconds': 0.5, 'seeds': [42, 43]}",25,100,0.9971913127523595,49.71,0.2636813569687071,0.25937335318366195,81.0
"{'base_arrival_rate': 50.0, 'burst_multiplier': 5.0, 'burst_duration': 30.0, 'burst_interval': 120.0, 'sim_time': 600.0, 'seed': 42, 'search_time_mean': 0.02, 'es_query_time_mean': 0.08, 'num_search_workers': 10, 'es_query_pool_size': 100, 'alpha': 0.0, 'beta': 0.0, 'max_threads': None, 'sla_seconds': 0.5, 'seeds': [42, 43]}",50,10,0.9976358426799632,99.17083333333333,0.263443934337829,0.2597656796317125,134.5
"{'base_arrival_rate': 50.0, 'burst_multiplier': 5.0, 'burst_duration': 30.0, 'burst_interval': 120.0, 'sim_time': 600.0, 'seed': 42, 'search_time_mean': 0.02, 'es_query_time_mean': 0.08, 'num_search_workers': 20, 'es_query_pool_size': 100, 'alpha': 0.0, 'beta': 0.0, 'max_threads': None, 'sla_seconds': 0.5, 'seeds': [42, 43]}",50,20,0.9973105501634763,99.19583333333333,0.26362001340565655,0.25941240982101377,154.0
"{'base_arrival_rate': 50.0, 'burst_multiplier': 5.0, 'burst_duration': 30.0, 'burst_interval': 120.0, 'sim_time': 600.0, 'seed': 42, 'search_time_mean': 0.02, 'es_query_time_mean': 0.08, 'num_search_workers': 30, 'es_query_pool_size': 100, 'alpha': 0.0, 'beta': 0.0, 'max_threads': None, 'sla_seconds': 0.5, 'seeds': [42, 43]}",50,30,0.9973105501634763,99.19583333333333,0.26362001340565655,0.25941240982101377,154.0
"{'base_arrival_rate': 50.0, 'burst_multiplier': 5.0, 'burst_duration': 30.0, 'burst_interval': 120.0, 'sim_time': 600.0, 'seed': 42, 'search_time_mean': 0.02, 'es_query_time_mean': 0.08, 'num_search_workers': 50, 'es_query_pool_size': 100, 'alpha': 0.0, 'beta': 0.0, 'max_threads': None, 'sla_seconds': 0.5, 'seeds': [42, 43]}",50,50,0.9973105501634763,99.19583333333333,0.26362001340565655,0.25941240982101377,154.0
"{'base_arrival_rate': 50.0, 'burst_multiplier': 5.0, 'burst_duration': 30.0, 'burst_interval': 120.0, 'sim_time': 600.0, 'seed': 42, 'search_time_mean': 0.02, 'es_query_time_mean': 0.08, 'num_search_workers': 75, 'es_query_pool_size': 100, 'alpha': 0.0, 'beta': 0.0, 'max_threads': None, 'sla_seconds': 0.5, 'seeds': [42, 43]}",50,75,0.9973105501634763,99.19583333333333,0.26362001340565655,0.25941240982101377,154.0
"{'base_arrival_rate': 50.0, 'burst_multiplier': 5.0, 'burst_duration': 30.0, 'burst_interval': 120.0, 'sim_time': 600.0, 'seed': 42, 'search_time_mean': 0.02, 'es_query_time_mean': 0.08, 'num_search_workers': 100, 'es_query_pool_size': 100, 'alpha': 0.0, 'beta': 0.0, 'max_threads': None, 'sla_seconds': 0.5, 'seeds': [42, 43]}",50,100,0.9973105501634763,99.19583333333333,0.26362001340565655,0.25941240982101377,154.0
"{'base_arrival_rate': 75.0, 'burst_multiplier': 5.0, 'burst_duration': 30.0, 'burst_interval': 120.0, 'sim_time': 600.0, 'seed': 42, 'search_time_mean': 0.02, 'es_query_time_mean': 0.08, 'num_search_workers': 10, 'es_query_pool_size': 100, 'alpha': 0.0, 'beta': 0.0, 'max_threads': None, 'sla_seconds': 0.5, 'seeds': [42, 43]}",75,10,0.9971155334995685,149.5325,0.26608981398357656,0.2618890830818934,254.5
"{'base_arrival_rate': 75.0, 'burst_multiplier': 5.0, 'burst_duration': 30.0, 'burst_interval': 120.0, 'sim_time': 600.0, 'seed': 42, 'search_time_mean': 0.02, 'es_query_time_mean': 0.08, 'num_search_workers': 20, 'es_query_pool_size': 100, 'alpha': 0.0, 'beta': 0.0, 'max_threads': None, 'sla_seconds': 0.5, 'seeds': [42, 43]}",75,20,0.9970981790918574,149.4725,0.26389867168891357,0.25981221778521757,248.5
"{'base_arrival_rate': 75.0, 'burst_multiplier': 5.0, 'burst_duration': 30.0, 'burst_interval': 120.0, 'sim_time': 600.0, 'seed': 42, 'search_time_mean': 0.02, 'es_query_time_mean': 0.08, 'num_search_workers': 30, 'es_query_pool_size': 100, 'alpha': 0.0, 'beta': 0.0, 'max_threads': None, 'sla_seconds': 0.5, 'seeds': [42, 43]}",75,30,0.9971439983887879,149.55166666666668,0.263850604385226,0.25968922239350434,248.0
"{'base_arrival_rate': 75.0, 'burst_multiplier': 5.0, 'burst_duration': 30.0, 'burst_interval': 120.0, 'sim_time': 600.0, 'seed': 42, 'search_time_mean': 0.02, 'es_query_time_mean': 0.08, 'num_search_workers': 50, 'es_query_pool_size': 100, 'alpha': 0.0, 'beta': 0.0, 'max_threads': None, 'sla_seconds': 0.5, 'seeds': [42, 43]}",75,50,0.9971439983887879,149.55166666666668,0.263850604385226,0.25968922239350434,248.0
"{'base_arrival_rate': 75.0, 'burst_multiplier': 5.0, 'burst_duration': 30.0, 'burst_interval': 120.0, 'sim_time': 600.0, 'seed': 42, 'search_time_mean': 0.02, 'es_query_time_mean': 0.08, 'num_search_workers': 75, 'es_query_pool_size': 100, 'alpha': 0.0, 'beta': 0.0, 'max_threads': None, 'sla_seconds': 0.5, 'seeds': [42, 43]}",75,75,0.9971439983887879,149.55166666666668,0.263850604385226,0.25968922239350434,248.0
"{'base_arrival_rate': 75.0, 'burst_multiplier': 5.0, 'burst_duration': 30.0, 'burst_interval': 120.0, 'sim_time': 600.0, 'seed': 42, 'search_time_mean': 0.02, 'es_query_time_mean': 0.08, 'num_search_workers': 100, 'es_query_pool_size': 100, 'alpha': 0.0, 'beta': 0.0, 'max_threads': None, 'sla_seconds': 0.5, 'seeds': [42, 43]}",75,100,0.9971439983887879,149.55166666666668,0.263850604385226,0.25968922239350434,248.0
"{'base_arrival_rate': 100.0, 'burst_multiplier': 5.0, 'burst_duration': 30.0, 'burst_interval': 120.0, 'sim_time': 600.0, 'seed': 42, 'search_time_mean': 0.02, 'es_query_time_mean': 0.08, 'num_search_workers': 10, 'es_query_pool_size': 100, 'alpha': 0.0, 'beta': 0.0, 'max_threads': None, 'sla_seconds': 0.5, 'seeds': [42, 43]}",100,10,0.9612112936585333,191.99916666666667,0.4764311196234168,0.41581147710626,4639.0
"{'base_arrival_rate': 100.0, 'burst_multiplier': 5.0, 'burst_duration': 30.0, 'burst_interval': 120.0, 'sim_time': 600.0, 'seed': 42, 'search_time_mean': 0.02, 'es_query_time_mean': 0.08, 'num_search_workers': 20, 'es_query_pool_size': 100, 'alpha': 0.0, 'beta': 0.0, 'max_threads': None, 'sla_seconds': 0.5, 'seeds': [42, 43]}",100,20,0.9974663524562233,199.14,0.26323281888698613,0.2594349392784103,290.5
"{'base_arrival_rate': 100.0, 'burst_multiplier': 5.0, 'burst_duration': 30.0, 'burst_interval': 120.0, 'sim_time': 600.0, 'seed': 42, 'search_time_mean': 0.02, 'es_query_time_mean': 0.08, 'num_search_workers': 30, 'es_query_pool_size': 100, 'alpha': 0.0, 'beta': 0.0, 'max_threads': None, 'sla_seconds': 0.5, 'seeds': [42, 43]}",100,30,0.9972983569430538,199.6483333333333,0.2632040368967523,0.25935055909141624,315.0
"{'base_arrival_rate': 100.0, 'burst_multiplier': 5.0, 'burst_duration': 30.0, 'burst_interval': 120.0, 'sim_time': 600.0, 'seed': 42, 'search_time_mean': 0.02, 'es_query_time_mean': 0.08, 'num_search_workers': 50, 'es_query_pool_size': 100, 'alpha': 0.0, 'beta': 0.0, 'max_threads': None, 'sla_seconds': 0.5, 'seeds': [42, 43]}",100,50,0.9972983569430538,199.6483333333333,0.2632040368967523,0.25935055909141624,315.0
"{'base_arrival_rate': 100.0, 'burst_multiplier': 5.0, 'burst_duration': 30.0, 'burst_interval': 120.0, 'sim_time': 600.0, 'seed': 42, 'search_time_mean': 0.02, 'es_query_time_mean': 0.08, 'num_search_workers': 75, 'es_query_pool_size': 100, 'alpha': 0.0, 'beta': 0.0, 'max_threads': None, 'sla_seconds': 0.5, 'seeds': [42, 43]}",100,75,0.9972983569430538,199.6483333333333,0.2632040368967523,0.25935055909141624,315.0
"{'base_arrival_rate': 100.0, 'burst_multiplier': 5.0, 'burst_duration': 30.0, 'burst_interval': 120.0, 'sim_time': 600.0, 'seed': 42, 'search_time_mean': 0.02, 'es_query_time_mean': 0.08, 'num_search_workers': 100, 'es_query_pool_size': 100, 'alpha': 0.0, 'beta': 0.0, 'max_threads': None, 'sla_seconds': 0.5, 'seeds': [42, 43]}",100,100,0.9972983569430538,199.6483333333333,0.2632040368967523,0.25935055909141624,315.0
"{'base_arrival_rate': 125.0, 'burst_multiplier': 5.0, 'burst_duration': 30.0, 'burst_interval': 120.0, 'sim_time': 600.0, 'seed': 42, 'search_time_mean': 0.02, 'es_query_time_mean': 0.08, 'num_search_workers': 10, 'es_query_pool_size': 100, 'alpha': 0.0, 'beta': 0.0, 'max_threads': None, 'sla_seconds': 0.5, 'seeds': [42, 43]}",125,10,0.5224721783033721,130.49333333333334,0.5,0.4940658841301717,71550.0
"{'base_arrival_rate': 125.0, 'burst_multiplier': 5.0, 'burst_duration': 30.0, 'burst_interval': 120.0, 'sim_time': 600.0, 'seed': 42, 'search_time_mean': 0.02, 'es_query_time_mean': 0.08, 'num_search_workers': 20, 'es_query_pool_size': 100, 'alpha': 0.0, 'beta': 0.0, 'max_threads': None, 'sla_seconds': 0.5, 'seeds': [42, 43]}",125,20,0.9974071470190822,248.7575,0.264196083344558,0.2603698500513758,372.5
"{'base_arrival_rate': 125.0, 'burst_multiplier': 5.0, 'burst_duration': 30.0, 'burst_interval': 120.0, 'sim_time': 600.0, 'seed': 42, 'search_time_mean': 0.02, 'es_query_time_mean': 0.08, 'num_search_workers': 30, 'es_query_pool_size': 100, 'alpha': 0.0, 'beta': 0.0, 'max_threads': None, 'sla_seconds': 0.5, 'seeds': [42, 43]}",125,30,0.9973747395224926,248.84249999999997,0.262974411604338,0.2591773813425391,380.5
"{'base_arrival_rate': 125.0, 'burst_multiplier': 5.0, 'burst_duration': 30.0, 'burst_interval': 120.0, 'sim_time': 600.0, 'seed': 42, 'search_time_mean': 0.02, 'es_query_time_mean': 0.08, 'num_search_workers': 50, 'es_query_pool_size': 100, 'alpha': 0.0, 'beta': 0.0, 'max_threads': None, 'sla_seconds': 0.5, 'seeds': [42, 43]}",125,50,0.9973747395224926,248.84249999999997,0.262974411604338,0.2591773813425391,380.5
"{'base_arrival_rate': 125.0, 'burst_multiplier': 5.0, 'burst_duration': 30.0, 'burst_interval': 120.0, 'sim_time': 600.0, 'seed': 42, 'search_time_mean': 0.02, 'es_query_time_mean': 0.08, 'num_search_workers': 75, 'es_query_pool_size': 100, 'alpha': 0.0, 'beta': 0.0, 'max_threads': None, 'sla_seconds': 0.5, 'seeds': [42, 43]}",125,75,0.9973747395224926,248.84249999999997,0.262974411604338,0.2591773813425391,380.5
"{'base_arrival_rate': 125.0, 'burst_multiplier': 5.0, 'burst_duration': 30.0, 'burst_interval': 120.0, 'sim_time': 600.0, 'seed': 42, 'search_time_mean': 0.02, 'es_query_time_mean': 0.08, 'num_search_workers': 100, 'es_query_pool_size': 100, 'alpha': 0.0, 'beta': 0.0, 'max_threads': None, 'sla_seconds': 0.5, 'seeds': [42, 43]}",125,100,0.9973747395224926,248.84249999999997,0.262974411604338,0.2591773813425391,380.5
"{'base_arrival_rate': 150.0, 'burst_multiplier': 5.0, 'burst_duration': 30.0, 'burst_interval': 120.0, 'sim_time': 600.0, 'seed': 42, 'search_time_mean': 0.02, 'es_query_time_mean': 0.08, 'num_search_workers': 10, 'es_query_pool_size': 100, 'alpha': 0.0, 'beta': 0.0, 'max_threads': None, 'sla_seconds': 0.5, 'seeds': [42, 43]}",150,10,0.4586255713995381,136.83666666666664,0.5,0.4943383867364588,96897.5
"{'base_arrival_rate': 150.0, 'burst_multiplier': 5.0, 'burst_duration': 30.0, 'burst_interval': 120.0, 'sim_time': 600.0, 'seed': 42, 'search_time_mean': 0.02, 'es_query_time_mean': 0.08, 'num_search_workers': 20, 'es_query_pool_size': 100, 'alpha': 0.0, 'beta': 0.0, 'max_threads': None, 'sla_seconds': 0.5, 'seeds': [42, 43]}",150,20,0.9972959771956125,298.41083333333336,0.2638552186960794,0.2599096125396443,472.0
"{'base_arrival_rate': 150.0, 'burst_multiplier': 5.0, 'burst_duration': 30.0, 'burst_interval': 120.0, 'sim_time': 600.0, 'seed': 42, 'search_time_mean': 0.02, 'es_query_time_mean': 0.08, 'num_search_workers': 30, 'es_query_pool_size': 100, 'alpha': 0.0, 'beta': 0.0, 'max_threads': None, 'sla_seconds': 0.5, 'seeds': [42, 43]}",150,30,0.9974565064931685,298.3666666666667,0.2633424987687789,0.25949287925598696,446.0
"{'base_arrival_rate': 150.0, 'burst_multiplier': 5.0, 'burst_duration': 30.0, 'burst_interval': 120.0, 'sim_time': 600.0, 'seed': 42, 'search_time_mean': 0.02, 'es_query_time_mean': 0.08, 'num_search_workers': 50, 'es_query_pool_size': 100, 'alpha': 0.0, 'beta': 0.0, 'max_threads': None, 'sla_seconds': 0.5, 'seeds': [42, 43]}",150,50,0.9973659931020937,297.8491666666667,0.2634487467131521,0.25946478276435414,455.0
"{'base_arrival_rate': 150.0, 'burst_multiplier': 5.0, 'burst_duration': 30.0, 'burst_interval': 120.0, 'sim_time': 600.0, 'seed': 42, 'search_time_mean': 0.02, 'es_query_time_mean': 0.08, 'num_search_workers': 75, 'es_query_pool_size': 100, 'alpha': 0.0, 'beta': 0.0, 'max_threads': None, 'sla_seconds': 0.5, 'seeds': [42, 43]}",150,75,0.9973659931020937,297.8491666666667,0.2634487467131521,0.25946478276435414,455.0
"{'base_arrival_rate': 150.0, 'burst_multiplier': 5.0, 'burst_duration': 30.0, 'burst_interval': 120.0, 'sim_time': 600.0, 'seed': 42, 'search_time_mean': 0.02, 'es_query_time_mean': 0.08, 'num_search_workers': 100, 'es_query_pool_size': 100, 'alpha': 0.0, 'beta': 0.0, 'max_threads': None, 'sla_seconds': 0.5, 'seeds': [42, 43]}",150,100,0.9973659931020937,297.8491666666667,0.2634487467131521,0.25946478276435414,455.0
"{'base_arrival_rate': 175.0, 'burst_multiplier': 5.0, 'burst_duration': 30.0, 'burst_interval': 120.0, 'sim_time': 600.0, 'seed': 42, 'search_time_mean': 0.02, 'es_query_time_mean': 0.08, 'num_search_workers': 10, 'es_query_pool_size': 100, 'alpha': 0.0, 'beta': 0.0, 'max_threads': None, 'sla_seconds': 0.5, 'seeds': [42, 43]}",175,10,0.4290304174020459,149.82083333333333,0.5,0.49387476508876205,119611.5
"{'base_arrival_rate': 175.0, 'burst_multiplier': 5.0, 'burst_duration': 30.0, 'burst_interval': 120.0, 'sim_time': 600.0, 'seed': 42, 'search_time_mean': 0.02, 'es_query_time_mean': 0.08, 'num_search_workers': 20, 'es_query_pool_size': 100, 'alpha': 0.0, 'beta': 0.0, 'max_threads': None, 'sla_seconds': 0.5, 'seeds': [42, 43]}",175,20,0.9972170293028899,348.1775,0.2655457359933564,0.26150502952296506,559.5
"{'base_arrival_rate': 175.0, 'burst_multiplier': 5.0, 'burst_duration': 30.0, 'burst_interval': 120.0, 'sim_time': 600.0, 'seed': 42, 'search_time_mean': 0.02, 'es_query_time_mean': 0.08, 'num_search_workers': 30, 'es_query_pool_size': 100, 'alpha': 0.0, 'beta': 0.0, 'max_threads': None, 'sla_seconds': 0.5, 'seeds': [42, 43]}",175,30,0.9972323025582235,348.92999999999995,0.263723949981312,0.25977170860521426,569.0
"{'base_arrival_rate': 175.0, 'burst_multiplier': 5.0, 'burst_duration': 30.0, 'burst_interval': 120.0, 'sim_time': 600.0, 'seed': 42, 'search_time_mean': 0.02, 'es_query_time_mean': 0.08, 'num_search_workers': 50, 'es_query_pool_size': 100, 'alpha': 0.0, 'beta': 0.0, 'max_threads': None, 'sla_seconds': 0.5, 'seeds': [42, 43]}",175,50,0.997333988015226,348.235,0.26283796209253296,0.2590000206477203,541.0
"{'base_arrival_rate': 175.0, 'burst_multiplier': 5.0, 'burst_duration': 30.0, 'burst_interval': 120.0, 'sim_time': 600.0, 'seed': 42, 'search_time_mean': 0.02, 'es_query_time_mean': 0.08, 'num_search_workers': 75, 'es_query_pool_size': 100, 'alpha': 0.0, 'beta': 0.0, 'max_threads': None, 'sla_seconds': 0.5, 'seeds': [42, 43]}",175,75,0.997333988015226,348.235,0.26283796209253296,0.2590000206477203,541.0
"{'base_arrival_rate': 175.0, 'burst_multiplier': 5.0, 'burst_duration': 30.0, 'burst_interval': 120.0, 'sim_time': 600.0, 'seed': 42, 'search_time_mean': 0.02, 'es_query_time_mean': 0.08, 'num_search_workers': 100, 'es_query_pool_size': 100, 'alpha': 0.0, 'beta': 0.0, 'max_threads': None, 'sla_seconds': 0.5, 'seeds': [42, 43]}",175,100,0.997333988015226,348.235,0.26283796209253296,0.2590000206477203,541.0
"{'base_arrival_rate': 200.0, 'burst_multiplier': 5.0, 'burst_duration': 30.0, 'burst_interval': 120.0, 'sim_time': 600.0, 'seed': 42, 'search_time_mean': 0.02, 'es_query_time_mean': 0.08, 'num_search_workers': 10, 'es_query_pool_size': 100, 'alpha': 0.0, 'beta': 0.0, 'max_threads': None, 'sla_seconds': 0.5, 'seeds': [42, 43]}",200,10,0.4132344137204418,165.13666666666666,0.5,0.4927214389336996,140670.0
"{'base_arrival_rate': 200.0, 'burst_multiplier': 5.0, 'burst_duration': 30.0, 'burst_interval': 120.0, 'sim_time': 600.0, 'seed': 42, 'search_time_mean': 0.02, 'es_query_time_mean': 0.08, 'num_search_workers': 20, 'es_query_pool_size': 100, 'alpha': 0.0, 'beta': 0.0, 'max_threads': None, 'sla_seconds': 0.5, 'seeds': [42, 43]}",200,20,0.9877169521957982,393.7941666666667,0.38353197997553323,0.36574308911050935,2918.0
"{'base_arrival_rate': 200.0, 'burst_multiplier': 5.0, 'burst_duration': 30.0, 'burst_interval': 120.0, 'sim_time': 600.0, 'seed': 42, 'search_time_mean': 0.02, 'es_query_time_mean': 0.08, 'num_search_workers': 30, 'es_query_pool_size': 100, 'alpha': 0.0, 'beta': 0.0, 'max_threads': None, 'sla_seconds': 0.5, 'seeds': [42, 43]}",200,30,0.997384808945976,398.2258333333333,0.26279573139424883,0.2590990404713409,604.5
"{'base_arrival_rate': 200.0, 'burst_multiplier': 5.0, 'burst_duration': 30.0, 'burst_interval': 120.0, 'sim_time': 600.0, 'seed': 42, 'search_time_mean': 0.02, 'es_query_time_mean': 0.08, 'num_search_workers': 50, 'es_query_pool_size': 100, 'alpha': 0.0, 'beta': 0.0, 'max_threads': None, 'sla_seconds': 0.5, 'seeds': [42, 43]}",200,50,0.9973775372878716,397.74583333333334,0.2626426927735963,0.25879442461172175,600.0
"{'base_arrival_rate': 200.0, 'burst_multiplier': 5.0, 'burst_duration': 30.0, 'burst_interval': 120.0, 'sim_time': 600.0, 'seed': 42, 'search_time_mean': 0.02, 'es_query_time_mean': 0.08, 'num_search_workers': 75, 'es_query_pool_size': 100, 'alpha': 0.0, 'beta': 0.0, 'max_threads': None, 'sla_seconds': 0.5, 'seeds': [42, 43]}",200,75,0.9973775372878716,397.74583333333334,0.2626426927735963,0.25879442461172175,600.0
"{'base_arrival_rate': 200.0, 'burst_multiplier': 5.0, 'burst_duration': 30.0, 'burst_interval': 120.0, 'sim_time': 600.0, 'seed': 42, 'search_time_mean': 0.02, 'es_query_time_mean': 0.08, 'num_search_workers': 100, 'es_query_pool_size': 100, 'alpha': 0.0, 'beta': 0.0, 'max_threads': None, 'sla_seconds': 0.5, 'seeds': [42, 43]}",200,100,0.9973775372878716,397.74583333333334,0.2626426927735963,0.25879442461172175,600.0
"{'base_arrival_rate': 250.0, 'burst_multiplier': 5.0, 'burst_duration': 30.0, 'burst_interval': 120.0, 'sim_time': 600.0, 'seed': 42, 'search_time_mean': 0.02, 'es_query_time_mean': 0.08, 'num_search_workers': 10, 'es_query_pool_size': 100, 'alpha': 0.0, 'beta': 0.0, 'max_threads': None, 'sla_seconds': 0.5, 'seeds': [42, 43]}",250,10,0.3969083644300977,198.3225,0.5,0.4482794328823303,180782.5
"{'base_arrival_rate': 250.0, 'burst_multiplier': 5.0, 'burst_duration': 30.0, 'burst_interval': 120.0, 'sim_time': 600.0, 'seed': 42, 'search_time_mean': 0.02, 'es_query_time_mean': 0.08, 'num_search_workers': 20, 'es_query_pool_size': 100, 'alpha': 0.0, 'beta': 0.0, 'max_threads': None, 'sla_seconds': 0.5, 'seeds': [42, 43]}",250,20,0.5152841888583668,257.87333333333333,0.5,0.49422229294721376,145527.0
"{'base_arrival_rate': 250.0, 'burst_multiplier': 5.0, 'burst_duration': 30.0, 'burst_interval': 120.0, 'sim_time': 600.0, 'seed': 42, 'search_time_mean': 0.02, 'es_query_time_mean': 0.08, 'num_search_workers': 30, 'es_query_pool_size': 100, 'alpha': 0.0, 'beta': 0.0, 'max_threads': None, 'sla_seconds': 0.5, 'seeds': [42, 43]}",250,30,0.9954229433645019,498.0333333333333,0.3085873475695564,0.3020153723668564,1352.0
"{'base_arrival_rate': 250.0, 'burst_multiplier': 5.0, 'burst_duration': 30.0, 'burst_interval': 120.0, 'sim_time': 600.0, 'seed': 42, 'search_time_mean': 0.02, 'es_query_time_mean': 0.08, 'num_search_workers': 50, 'es_query_pool_size': 100, 'alpha': 0.0, 'beta': 0.0, 'max_threads': None, 'sla_seconds': 0.5, 'seeds': [42, 43]}",250,50,0.995400424631771,497.3858333333333,0.30639906435487774,0.2997027887288528,1357.5
"{'base_arrival_rate': 250.0, 'burst_multiplier': 5.0, 'burst_duration': 30.0, 'burst_interval': 120.0, 'sim_time': 600.0, 'seed': 42, 'search_time_mean': 0.02, 'es_query_time_mean': 0.08, 'num_search_workers': 75, 'es_query_pool_size': 100, 'alpha': 0.0, 'beta': 0.0, 'max_threads': None, 'sla_seconds': 0.5, 'seeds': [42, 43]}",250,75,0.995400424631771,497.3858333333333,0.30639906435487774,0.2997027887288528,1357.5
